"AGUA FRESCA",7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29
"ALBAN",287.00, 287.00, 287.00, 287.00, 287.00, 287.00, 287.00, 287.00, 287.00, 287.00, 287.00, 287.00, 287.00, 287.00, 287.00, 287.00, 287.00, 287.00, 287.00, 287.00, 287.00, 287.00, 287.00, 287.00
"ALEJANDRIA",6.19, 6.19, 6.19, 6.19, 6.19, 6.19, 6.19, 6.19, 6.19, 6.19, 6.19, 6.19, 6.19, 6.19, 6.19, 6.19, 6.19, 6.19, 6.19, 6.19, 6.19, 6.19, 6.19, 6.19
"ALMA II",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.90, 3.90, 6.30, 8.10, 9.80, 8.40, 8.10, 8.00, 6.60, 4.50, 1.00, 0.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
"ALTO TULUA",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
"AMAIME",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00
"AMALFI",0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45
"AMERICA",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
"AMOYA LA ESPERANZA",75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00
"ASNAZU",0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.44, 0.45, 0.44, 0.43, 0.43, 0.43, 0.43, 0.42, 0.42, 0.42, 0.42, 0.42, 0.43, 0.44, 0.45, 0.44, 0.45, 0.45
"ATLANTICO",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 30.00, 97.00, 136.00, 153.00, 167.00, 166.00, 166.00, 164.00, 155.00, 134.00, 94.00, 29.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
"AURES BAJO",9.50, 9.50, 9.50, 9.50, 9.50, 9.50, 9.00, 9.00, 9.00, 9.00, 8.80, 8.80, 8.80, 8.80, 8.80, 8.50, 8.50, 8.50, 8.50, 8.50, 8.50, 9.00, 9.00, 9.00
"AUTOG ARGOS EL CAIRO",6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50
"AUTOG ARGOS SOGAMOSO",7.50, 7.50, 7.50, 7.50, 7.50, 7.50, 7.50, 7.50, 7.50, 7.50, 7.50, 7.50, 7.50, 7.50, 7.50, 7.50, 7.50, 7.50, 7.50, 7.50, 7.50, 7.50, 7.50, 7.50
"AUTOG ARGOS YUMBO",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
"AUTOG AYURA",10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00
"AUTOG BIODIANA",2.45, 2.45, 2.45, 2.45, 2.45, 2.45, 2.45, 2.45, 2.45, 2.45, 2.45, 2.45, 2.45, 2.45, 2.45, 2.45, 2.45, 2.69, 4.00, 4.00, 4.00, 4.00, 4.00, 4.00
"AUTOG BIOS CIENAGA ORO",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
"AUTOG BIOS CONTEGRAL CARTAGO",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
"AUTOG BIOS CONTEGRAL NEIVA",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
"AUTOG BIOS FINCA BUGA",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
