"AGUA FRESCA",7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29
"ALBAN",269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00
"ALEJANDRIA",8.58, 8.58, 8.58, 8.58, 8.58, 8.58, 8.58, 8.58, 8.58, 8.58, 8.58, 8.58, 8.58, 8.58, 8.58, 8.58, 8.58, 8.58, 8.58, 8.58, 8.58, 8.58, 8.58, 8.58
"ALMA II",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.90, 3.90, 6.30, 8.10, 9.80, 8.40, 8.10, 8.00, 6.60, 4.50, 1.00, 0.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
"ALTO TULUA",10.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 0.00, 0.00
"AMAIME",4.00, 4.00, 4.00, 4.00, 4.00, 4.00, 4.00, 4.00, 4.00, 4.00, 4.00, 4.00, 4.00, 4.00, 4.00, 4.00, 4.00, 4.00, 4.00, 4.00, 4.00, 4.00, 0.00, 0.00
"AMALFI",0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45
"AMERICA",0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20
"AMOYA LA ESPERANZA",75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00
"ASNAZU",0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42
"ATLANTICO",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 69.00, 69.00, 69.00, 69.00, 69.00, 69.00, 69.00, 69.00, 69.00, 69.00, 69.00, 69.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
"AURES BAJO",9.50, 9.50, 9.50, 9.50, 9.50, 9.50, 9.50, 9.50, 9.00, 9.00, 9.00, 9.00, 9.00, 9.00, 9.00, 9.00, 9.00, 9.00, 9.50, 9.50, 9.50, 9.50, 9.50, 9.50
"AUTOG ARGOS EL CAIRO",6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50
"AUTOG ARGOS SOGAMOSO",1.40, 1.40, 1.40, 1.40, 1.40, 1.40, 7.20, 7.20, 7.20, 7.20, 7.20, 7.20, 7.20, 7.20, 7.20, 7.20, 7.20, 7.20, 7.20, 7.20, 7.20, 7.20, 7.20, 7.20
"AUTOG ARGOS YUMBO",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
"AUTOG AYURA",10.20, 10.20, 10.20, 10.20, 10.20, 10.20, 10.20, 10.20, 10.20, 10.20, 10.20, 10.20, 10.20, 10.20, 10.20, 10.20, 10.20, 10.20, 10.20, 10.20, 10.20, 10.20, 10.20, 10.20
"AUTOG BIODIANA",3.20, 3.20, 3.20, 3.20, 3.20, 3.20, 3.20, 3.20, 3.20, 3.20, 3.20, 3.20, 3.20, 3.20, 3.20, 3.20, 3.20, 3.20, 3.20, 3.20, 3.20, 3.20, 3.20, 3.20
"AUTOG BIOS CIENAGA ORO",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
"AUTOG BIOS CONTEGRAL CARTAGO",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
