"AGUA FRESCA",6.54, 6.54, 6.54, 6.54, 6.54, 6.54, 6.54, 6.54, 6.54, 6.54, 6.54, 6.54, 6.54, 6.54, 6.54, 6.54, 6.54, 6.54, 6.54, 6.54, 6.54, 6.54, 6.54, 6.54
"ALBAN",231.00, 231.00, 231.00, 231.00, 231.00, 231.00, 231.00, 231.00, 231.00, 231.00, 231.00, 231.00, 231.00, 231.00, 231.00, 231.00, 231.00, 231.00, 231.00, 231.00, 231.00, 231.00, 231.00, 231.00
"ALEJANDRIA",14.90, 14.90, 14.90, 14.90, 14.90, 14.90, 14.90, 14.90, 14.90, 14.90, 14.90, 14.90, 14.90, 14.90, 14.90, 14.90, 14.90, 14.90, 14.90, 14.90, 14.90, 14.90, 14.90, 14.90
"ALMA II",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.90, 3.90, 6.30, 8.10, 9.80, 8.40, 8.10, 8.00, 6.60, 4.50, 1.00, 0.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
"ALTO TULUA",6.00, 6.00, 6.00, 6.00, 6.00, 6.00, 6.00, 6.00, 6.00, 6.00, 6.00, 6.00, 6.00, 6.00, 6.00, 6.00, 6.00, 6.00, 6.00, 6.00, 8.00, 8.00, 12.00, 12.00
"AMAIME",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
"AMALFI",0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45
"AMERICA",0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20
"AMOYA LA ESPERANZA",75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00
"ASNAZU",0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42
"ATLANTICO",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 69.00, 69.00, 69.00, 69.00, 69.00, 69.00, 69.00, 69.00, 69.00, 69.00, 69.00, 69.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
"AURES BAJO",8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00
"AUTOG ARGOS EL CAIRO",6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50, 6.50
"AUTOG ARGOS SOGAMOSO",4.50, 4.50, 4.50, 4.50, 4.50, 4.50, 4.50, 4.50, 4.50, 4.50, 4.50, 4.50, 4.50, 4.50, 4.50, 4.50, 4.50, 4.50, 4.50, 4.50, 4.50, 4.50, 4.50, 4.50
"AUTOG ARGOS YUMBO",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
"AUTOG AYURA",10.20, 10.20, 10.20, 10.20, 10.20, 10.20, 11.20, 11.20, 11.20, 11.20, 11.20, 11.20, 11.20, 11.20, 11.20, 11.20, 11.20, 11.20, 11.20, 11.20, 11.20, 11.20, 11.20, 10.20
"AUTOG BIODIANA",0.80, 0.80, 0.80, 0.80, 0.80, 0.80, 0.80, 0.80, 0.80, 0.80, 0.80, 0.80, 0.80, 0.80, 0.80, 0.80, 0.80, 0.80, 0.80, 0.80, 0.80, 0.80, 0.80, 0.80
"AUTOG BIOS CIENAGA ORO",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
"AUTOG BIOS CONTEGRAL CARTAGO",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
"AUTOG BIOS CONTEGRAL NEIVA",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
