"AGUA FRESCA",7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29, 7.29
"ALBAN",265.00, 265.00, 265.00, 265.00, 265.00, 265.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 154.44, 265.00, 265.00, 265.00, 265.00, 265.00, 265.00, 265.00, 265.00
"ALEJANDRIA",12.18, 12.18, 12.18, 12.18, 12.18, 12.18, 12.18, 12.18, 12.18, 12.18, 12.18, 12.18, 12.18, 12.18, 12.18, 12.18, 12.18, 12.18, 12.18, 12.18, 12.18, 12.18, 12.18, 12.18
"ALMA II",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.90, 3.90, 6.30, 8.10, 9.80, 8.40, 8.10, 8.00, 6.60, 4.50, 1.00, 0.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
"ALTO TULUA",8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00
"AMAIME",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
"AMALFI",0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45
"AMERICA",0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20, 0.20
"AMOYA LA ESPERANZA",75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00, 75.00
"ASNAZU",0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.44, 0.45, 0.44, 0.43, 0.43, 0.43, 0.43, 0.42, 0.42, 0.42, 0.42, 0.42, 0.43, 0.44, 0.45, 0.44, 0.45, 0.45
"ATLANTICO",0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 107.00, 107.00, 107.00, 107.00, 107.00, 107.00, 107.00, 107.00, 107.00, 107.00, 107.00, 107.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
"AURES BAJO",8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00, 8.00
